person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio,residual_income_after_loan,employment_tenure_band,risk_level
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.0436,263000,MID,LOW
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.038,253000,NEW,LOW
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.1127,196850,MID,MEDIUM
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.4157,40900,MID,MEDIUM
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.125,10500,MID,MEDIUM
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.1077,232000,LONG,LOW
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.0772,239000,MID,MEDIUM
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.0376,245400,MID,LOW
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,225000,EARLY,LOW
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.25,9000,NEW,LOW
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.4917,28950,MID,MEDIUM
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,9000,MID,MEDIUM
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.4308,37000,EARLY,MEDIUM
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.3294,57000,EARLY,LOW
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.5083,5900,EARLY,MEDIUM
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.3182,60000,MID,LOW
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,7800,NEW,MEDIUM
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.3958,7250,MID,MEDIUM
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.3373,55004,NEW,HIGH
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.072,232000,EARLY,MEDIUM
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.0192,245200,EARLY,LOW
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,72000,MID,LOW
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.2545,82000,LONG,LOW
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.225,9300,NEW,LOW
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.2593,80000,MID,LOW
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.1852,123200,MID,LOW
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.4,41400,EARLY,MEDIUM
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.2708,8750,MID,HIGH
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.3929,42500,EARLY,HIGH
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.1042,215000,MID,LOW
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.3695,46150,MID,HIGH
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.3253,56000,MID,MEDIUM
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.3679,46399,NEW,MEDIUM
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.416,36500,MID,MEDIUM
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.2133,94400,NEW,LOW
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.1294,10760,EARLY,LOW
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.4246,34525,NEW,MEDIUM
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.0855,214000,EARLY,MEDIUM
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.0855,214000,MID,LOW
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.0923,212400,LONG,LOW
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.0538,209104,MID,MEDIUM
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.1075,207500,NEW,HIGH
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.1522,195000,MID,LOW
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.3048,57700,MID,LOW
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.1587,10600,EARLY,LOW
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1389,10850,EARLY,LOW
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.5882,17500,EARLY,HIGH
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.6098,16000,EARLY,MEDIUM
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.2341,9816,NEW,MEDIUM
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.2816,9310,NEW,LOW
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.0885,206000,EARLY,LOW
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.1333,195000,NEW,HIGH
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.1643,178000,MID,LOW
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.0267,219000,NEW,LOW
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.3472,8460,NEW,LOW
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.1847,10596,NEW,HIGH
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.5952,17000,MID,HIGH
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.5208,23000,EARLY,MEDIUM
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.277,9396,NEW,LOW
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.3655,8246,NEW,MEDIUM
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.5902,17360,NEW,HIGH
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.5102,24000,EARLY,MEDIUM
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.1111,200000,NEW,HIGH
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.0133,222000,NEW,LOW
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.0333,217500,MID,LOW
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.1111,200000,EARLY,LOW
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.5054,24464,MID,MEDIUM
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.5,25000,NEW,MEDIUM
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,25000,EARLY,MEDIUM
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.5682,19000,EARLY,HIGH
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.5,25000,NEW,MEDIUM
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.5,25004,NEW,HIGH
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.5,25004,EARLY,MEDIUM
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.4808,27000,EARLY,MEDIUM
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.375,8250,EARLY,MEDIUM
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.1136,195000,NEW,MEDIUM
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.0972,195000,MID,LOW
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.1157,191000,EARLY,LOW
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.0926,196000,LONG,MEDIUM
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.1628,180000,MID,MEDIUM
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.0558,203000,LONG,LOW
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.4808,27000,NEW,HIGH
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.5435,21000,EARLY,MEDIUM
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.4717,28000,MID,HIGH
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.5319,22000,NEW,HIGH
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.5319,22000,NEW,HIGH
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.1061,11800,EARLY,LOW
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.3409,8700,NEW,LOW
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.0762,194000,MID,LOW
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.1048,188000,LONG,LOW
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.5208,23000,MID,HIGH
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.4546,29996,MID,MEDIUM
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.4545,30000,EARLY,HIGH
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.4545,30000,EARLY,MEDIUM
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.4545,30000,EARLY,HIGH
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.4532,30164,MID,HIGH
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.4464,31000,EARLY,MEDIUM
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.0983,183500,MID,LOW
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.1158,168000,MID,HIGH
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.5568,6170,EARLY,HIGH
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.4167,35000,NEW,MEDIUM
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.4167,35000,EARLY,MEDIUM
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.463,29000,MID,HIGH
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.2857,10000,EARLY,LOW
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.06,188000,MID,LOW
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.06,188000,MID,LOW
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.08,184000,MID,LOW
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.463,29000,EARLY,HIGH
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.4167,35000,EARLY,MEDIUM
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.4167,35000,MID,MEDIUM
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.4167,35000,MID,MEDIUM
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.4035,36959,MID,MEDIUM
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.4433,31400,EARLY,HIGH
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.14,172000,MID,LOW
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.125,175000,EARLY,LOW
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.12,176000,EARLY,LOW
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.075,185000,EARLY,LOW
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.0775,184500,EARLY,LOW
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.05,190000,MID,LOW
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.3788,41000,EARLY,MEDIUM
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.3788,41000,MID,HIGH
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.045,191000,MID,LOW
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.03,194000,EARLY,LOW
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09,182000,MID,LOW
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06,188000,EARLY,LOW
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.1152,176950,MID,LOW
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.1,180000,MID,LOW
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.4167,35000,EARLY,HIGH
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.2083,11400,NEW,LOW
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.3732,41996,LONG,HIGH
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.3731,42000,EARLY,MEDIUM
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.3731,42000,EARLY,MEDIUM
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.3676,43000,MID,HIGH
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.3623,44000,MID,HIGH
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.06,188000,NEW,LOW
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.1064,168000,LONG,MEDIUM
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.015,197000,EARLY,LOW
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.3572,44996,MID,MEDIUM
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.2778,10400,EARLY,LOW
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.3571,45000,EARLY,MEDIUM
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.4167,8400,MID,MEDIUM
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.4456,31100,MID,MEDIUM
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.3788,41000,MID,HIGH
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.3788,41000,EARLY,MEDIUM
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.3733,9025,MID,MEDIUM
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.3443,47612,MID,LOW
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.3378,49000,EARLY,LOW
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.3333,50000,MID,LOW
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.1146,170000,NEW,HIGH
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.1042,172000,LONG,LOW
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.0524,181000,NEW,LOW
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.0788,175300,MID,LOW
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.0526,180000,EARLY,LOW
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.3333,50000,EARLY,LOW
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.3521,46000,NEW,HIGH
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.1053,170000,EARLY,LOW
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.1263,165996,NEW,LOW
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.3205,53000,MID,MEDIUM
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.3205,53000,NEW,LOW
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.3185,53504,MID,LOW
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.0538,176000,MID,LOW
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,0.1892,150000,EARLY,LOW
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.0811,170000,MID,MEDIUM
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.4029,37050,MID,HIGH
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.3148,54416,MID,HIGH
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.434,8150,EARLY,MEDIUM
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.3139,54631,MID,HIGH
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.3139,54632,NEW,LOW
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0.1042,12900,NEW,LOW
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.3125,55000,MID,LOW
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.3125,55000,MID,LOW
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.1351,160000,EARLY,LOW
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.027,180000,LONG,LOW
